Repository,Branch,In-Scope(YES)
pru-pva/pva-x8s-pruquote,feature/GTDE-816,
pru-pva/pva-x8s-pruquote,feature/magnum4x,
pru-pva/pva-x8s-pruquote,feature/magnum-4x-UAT,
pru-pva/pva-x8s-pruquote,feature/2024/vlr9,
pru-pva/pva-x8s-pruquote,feature/2025/illustration-revision,
pru-pva/pva-x8s-pruquote,gitlab-master,
pru-pva/pva-x8s-pruquote,hotfix/VLR-reload,
pru-pva/pva-x8s-pruquote,hotfix/api-productname-header-pdf,
pru-pva/pva-x8s-pruquote,hotfix/auto-lock-agent,
pru-pva/pva-x8s-pruquote,hotfix/bs-CIS1,
pru-pva/pva-x8s-pruquote,hotfix/buy-vtr2-slow-perf,
pru-pva/pva-x8s-pruquote,hotfix/bypass-8888x,
pru-pva/pva-x8s-pruquote,hotfix/cboKyhan_PD,
pru-pva/pva-x8s-pruquote,hotfix/cim2-med-refund,
pru-pva/pva-x8s-pruquote,hotfix/cim2-rounding-premium,
pru-pva/pva-x8s-pruquote,hotfix/cir3-sa-default,
pru-pva/pva-x8s-pruquote,hotfix/cis1-family-discount,
pru-pva/pva-x8s-pruquote,hotfix/cna-create-tracking,
pru-pva/pva-x8s-pruquote,hotfix/dc2023-pruventure,
pru-pva/pva-x8s-pruquote,hotfix/defaultVCIVCW-V7,
pru-pva/pva-x8s-pruquote,hotfix/enhance-get-products,
pru-pva/pva-x8s-pruquote,hotfix/enhance-signature-perf,
pru-pva/pva-x8s-pruquote,hotfix/epolicy-term,
pru-pva/pva-x8s-pruquote,hotfix/fix-SIR1-sa,
pru-pva/pva-x8s-pruquote,hotfix/fix-THC3,
pru-pva/pva-x8s-pruquote,hotfix/fix-header-filenet,
pru-pva/pva-x8s-pruquote,hotfix/fix-tms-integration,
pru-pva/pva-x8s-pruquote,hotfix/fix-v8-allocate-tp,
pru-pva/pva-x8s-pruquote,hotfix/fna_view,
pru-pva/pva-x8s-pruquote,hotfix/fna-vdw,
pru-pva/pva-x8s-pruquote,hotfix/hcr-la-18+,
pru-pva/pva-x8s-pruquote,hotfix/la-age-65,
pru-pva/pva-x8s-pruquote,hotfix/min-ulr6-tp-tw,
pru-pva/pva-x8s-pruquote,hotfix/name-lenght-max50,
pru-pva/pva-x8s-pruquote,hotfix/round-prem-cis1,
pru-pva/pva-x8s-pruquote,hotfix/rpq-over-page,
pru-pva/pva-x8s-pruquote,hotfix/rpq-wrong-result,
pru-pva/pva-x8s-pruquote,hotfix/scb-tla3-no-add2,
pru-pva/pva-x8s-pruquote,hotfix/tlr1-sa-validation,
pru-pva/pva-x8s-pruquote,hotfix/vci2-sa-100M,
pru-pva/pva-x8s-pruquote,hotfix/vhs-sa-0,
pru-pva/pva-x8s-pruquote,hotfix/vidigi-aml,
pru-pva/pva-x8s-pruquote,hotfix/2023/allow-corp-age,
pru-pva/pva-x8s-pruquote,hotfix/2023/can-not-get-basic-plan,
pru-pva/pva-x8s-pruquote,hotfix/2023/dc2023-agent-toptier,
pru-pva/pva-x8s-pruquote,hotfix/2023/financial-analysis-template,
pru-pva/pva-x8s-pruquote,hotfix/2023/fna-validate-not-correct,
pru-pva/pva-x8s-pruquote,hotfix/2023/old-fna-generate-quotation-wrong,
pru-pva/pva-x8s-pruquote,hotfix/2024/break_page_not_correct,
pru-pva/pva-x8s-pruquote,hotfix/2024/dc-course-url-based-channel,
pru-pva/pva-x8s-pruquote,hotfix/2024/illustration_rate_wording,
pru-pva/pva-x8s-pruquote,hotfix/2024/riders_validation_for_vlr7,
pru-pva/pva-x8s-pruquote,jenkins-restart-prod,
pru-pva/pva-x8s-pruquote,koushikrajan_prudential.com.sg/Jenkinsfile-1620289888997,
pru-pva/pva-x8s-pruquote,koushikrajan_prudential.com.sg/Jenkinsfile-1621916155250,
pru-pva/pva-x8s-pruquote,master,yes
pru-pva/pva-x8s-pruquote,master-dr,
pru-pva/pva-x8s-pruquote,preprod,
pru-pva/pva-x8s-pruquote,pvatechmw02_prudential.com.vn/Jenkinsfile-1645000455960,
pru-pva/pva-x8s-pruquote,pvatechmw02_prudential.com.vn/Jenkinsfile-1645001583489,
pru-pva/pva-x8s-pruquote,revert-6-bsr/2024/packagePD,
pru-pva/pva-x8s-pruquote,test-new-jenkins,
pru-pva/pva-x8s-pruquote,wip/UAT-bk-for-esg-new-template,
pru-pva/pva-d75-prugreat,CICD,
pru-pva/pva-d75-prugreat,CICD-PUAT-TEST,
pru-pva/pva-d75-prugreat,CICD-TEST,
pru-pva/pva-d75-prugreat,UAT_For_PUAT,
pru-pva/pva-d75-prugreat,UAT_RELEASE,
pru-pva/pva-d75-prugreat,UAT_RELEASE_1,
pru-pva/pva-d75-prugreat,cash-advance,
pru-pva/pva-d75-prugreat,feature/Ta,
pru-pva/pva-d75-prugreat,feature/enhance-L#17,
pru-pva/pva-d75-prugreat,master,yes
pru-pva/pva-d75-prugreat,prugreat-modify,
pru-pva/pva-d75-prugreat,release/prod-,
pru-pva/pva-d75-configuration,CICD,
pru-pva/pva-d75-configuration,CICD-TEST,
pru-pva/pva-d75-configuration,UAT,
pru-pva/pva-d75-configuration,WIP,
pru-pva/pva-d75-configuration,master,
pru-pva/pva-d75-prugreat-billing-change,CICD,
pru-pva/pva-d75-prugreat-billing-change,CICD-TEST,
pru-pva/pva-d75-prugreat-billing-change,UAT,yes
pru-pva/pva-d75-prugreat-billing-change,billing-change-modify,
pru-pva/pva-d75-prugreat-billing-change,master,yes
pru-pva/pva-d75-prugreat-cash-advance,CICD,
pru-pva/pva-d75-prugreat-cash-advance,CICD-TEST,
pru-pva/pva-d75-prugreat-cash-advance,UAT,yes
pru-pva/pva-d75-prugreat-cash-advance,master,yes
pru-pva/pva-d75-prugreat-cash-advance,release/migration,
pru-pva/pva-d75-prugreat-core,CICD-TEST,
pru-pva/pva-d75-prugreat-core,UAT,yes
pru-pva/pva-d75-prugreat-core,master,yes
pru-pva/pva-d75-prugreat-e-stock,CICD,
pru-pva/pva-d75-prugreat-e-stock,CICD-TEST,
pru-pva/pva-d75-prugreat-e-stock,UAT,yes
pru-pva/pva-d75-prugreat-e-stock,UAT-SpringBoot,
