Repository,Branch,In-Scope(YES),LBU,POC,Remarks
pru-ei/ei-8hj-hera-replatform-adbk,feature/EISDP-551,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adbk,feature/EISGCLOUDENGINEERING-384-add-config-files-to-master-branch-hera-replatform-adbk,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adbk,master,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adbk,release/EISCDM-1274-sit-deployment-release-1,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adbk,release/hera-sprint1,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-functionapp,bugfix/EISCDM-6565,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-functionapp,bugfix/EISCDM-6591,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-functionapp,bugfix/EISCDM-6592,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-functionapp,bugfix/EISCDM-6932,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-functionapp,bugfix/EISCDM-6941,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-functionapp,feature/EISCDM-2945,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-functionapp,feature/EISCDM-5600-no-fastapi,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-functionapp,feature/EISCDM-5600,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-functionapp,feature/EISCDM-5601,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-functionapp,feature/EISCDM-5696,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-functionapp,feature/EISCDM-6024,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-functionapp,feature/EISCDM-6159,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-functionapp,feature/EISCDM-6521,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-functionapp,feature/EISGCLOUDENGINEERING-511,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-functionapp,master,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-functionapp,release/release3.6,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-functionapp,release/sit,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,bugfix/EISCDM-5962_tong,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,bugfix/EISCDM-5962,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,feature/EISCDM-01,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,feature/EISCDM-28-release2.2,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,feature/EISCDM-28-release2.6,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,feature/EISCDM-2765-release2,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,feature/EISCDM-3083-release2.1,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,feature/EISCDM-3083-release2.3,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,feature/EISCDM-3083-release2.5,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,feature/EISCDM-3083-release3,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,feature/EISCDM-5229-release2.6.1,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,feature/EISCDM-5230-release2.7,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,feature/EISCDM-5280-release2.6.2,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,feature/EISCDM-5416-release2.6.3,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,feature/EISCDM-5606-release2.8,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,feature/EISCDM-5842_release2.9,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,feature/EISCDM-5952_release2.9.1,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,feature/EISCDM-5992_release2.9.2,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,feature/EISCDM-6025_release3.0,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,feature/EISCDM-6187_release3.1,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,feature/EISCDM-6444_release3.2,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,hotfix/EISCDM-6089-EISCDM-6090-release2.9.3,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,hotfix/revert-EISCDM-6089-EISCDM-6090-release3.0,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,master,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,release/release1,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,release/release1.1,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,release/release1.2,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,release/release1.3,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,release/release2_rollback,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,release/release2,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,release/release2.1_rollback,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,release/release2.1,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,release/release2.2_rollback,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,release/release2.2,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,release/release2.3,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,release/release2.5_rollback,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,release/release2.5,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,release/release2.6_rollback,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,release/release2.6,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,release/release2.6.1_rollback,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,release/release2.6.1,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,release/release2.6.2_rollback,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,release/release2.6.2,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,release/release2.6.3_rollback,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,release/release2.6.3,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,release/release2.7_rollback,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,release/release2.7,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,release/release2.8_rollback,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,release/release2.8,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,release/release2.9_rollback,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,release/release2.9,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,release/release2.9.1,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,release/release2.9.2_rollback,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,release/release2.9.2,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,release/release2.9.3_rollback,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,release/release2.9.3,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,release/release3,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,release/release3.0,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,release/release3.1_rollback,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,release/release3.1,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,release/release3.2_ESG_rollback,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,release/release3.2_factset,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,release/release3.2,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,release/release3.3_factset_rollback,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,release/release3.3_factset,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,release/release3.5_odm,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,release/release3.6,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,release/release3.6.1,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-adf,release/release3.7,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,bugfix/EISCDM-5842_bugfix2.9,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,bugfix/EISCDM-5852_release2.8.1,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,bugfix/EISCDM-6133,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,bugfix/EISCDM-6598,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,bugfix/EISCDM-6697,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,feature/EISCDM-28-release2.2,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,feature/EISCDM-28-release2.6,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,feature/EISCDM-2100,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,feature/EISCDM-2101,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,feature/EISCDM-2716-AL-review,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,feature/EISCDM-2758,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,feature/EISCDM-2765-release2,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,feature/EISCDM-2765,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,feature/EISCDM-3080-dr-script,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,feature/EISCDM-3083-release2.1,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,feature/EISCDM-3083-release2.3,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,feature/EISCDM-3083-release2.5,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,feature/EISCDM-3083-release3,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,feature/EISCDM-3189,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,feature/EISCDM-5229-release2.6.1,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,feature/EISCDM-5230-release2.7,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,feature/EISCDM-5280-release2.6.2,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,feature/EISCDM-5416-release2.6.3,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,feature/EISCDM-5606-release2.8,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,feature/EISCDM-5842_release2.9,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,feature/EISCDM-5952_release2.9.1,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,feature/EISCDM-6025_release3.0,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,feature/EISCDM-6187_release3.1,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,feature/EISCDM-6307-6538-6282-6522-6281-6280,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,feature/EISCDM-6307-6538-6282-6522-6281-6280_3,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,feature/EISCDM-6444_release3.2_test,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,feature/EISCDM-6444_release3.2,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,feature/EISCDM-7184_test,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,feature/ESICDM-4986_factset_bonds,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,hotfix/release2.9,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,hotfix/revert_PR_212,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,master,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,release/Release3.2_Backup,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,release/release_dr,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,release/release1,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,release/release1.1,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,release/release1.2,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,release/release1.3,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,release/release2_rollback,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,release/release2,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,release/release2.1_rollback,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,release/release2.1,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,release/release2.2_rollback,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,release/release2.2,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,release/release2.3,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,release/release2.5_rollback,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,release/release2.5,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,release/release2.6_rollback,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,release/release2.6,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,release/release2.6.1_rollback,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,release/release2.6.1,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,release/release2.6.2_rollback,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,release/release2.6.2,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,release/release2.6.3_rollback,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,release/release.2.6.3,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,release/release2.7_rollback,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,release/release2.7,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,release/release2.8_factset,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,release/release2.8_rollback,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,release/release2.8,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,release/release2.8.1_rollback,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,release/release2.8.1,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,release/release2.9_rollback,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,release/release2.9,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,release/release2.9.1,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,release/release2.9.3_rollback,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,release/release2.9.3,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,release/release3,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,release/release3.0,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,release/release3.1_rollback,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,release/release3.1,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,release/release3.2_ESG_rollback,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,release/release3.2_cr,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,release/release3.2_factset_rollback,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,release/release3.2_factset,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,release/release3.2_rollback,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,release/release3.2,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,release/release3.2_06032025,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,release/release3.3_factset_rollback,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,release/release3.3_factset,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,release/release3.5_odm,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,release/release3.6,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,release/release3.6.1,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,release/release3.6.2_test,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion,release/release3.7,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-logicapps,bugfix/EISCDM-2679_invalid_template_error,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-logicapps,feature/EISCDM-3083-release2.5,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-logicapps,feature/EISCDM-3398_rename-parameter-files,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-logicapps,feature/EISCDM-4796_Remove-colon-from-email-header-in-PRD,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-logicapps,feature/EISCDM-4843-logic-app-email-attachment,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-logicapps,feature/EISCDM-5229-RELEASE2.6.1,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-logicapps,feature/EISCDM-6246_attachment_feature_logic_apps,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-logicapps,feature/EISGCLOUDENGINEERING-577,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-logicapps,master,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-logicapps,release/release1,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-logicapps,release/release2.5_rollback,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-logicapps,release/release2.5,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-logicapps,release/release2.6,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-logicapps,release/release2.6.1_rollback,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-logicapps,release/release2.6.1,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-logicapps,release/release3.2,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-logicapps,release/release3.6,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,feature/EISCD-2758_ConfigFix,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,feature/EISCDM-28-release2.6_rollback,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,feature/EISCDM-28-release2.6,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,feature/EISCDM-2100,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,feature/EISCDM-2735_release_2,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,feature/EISCDM-2758_new,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,feature/EISCDM-2758_test,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,feature/EISCDM-2758,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,feature/EISCDM-2759,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,feature/EISCDM-2765-release1.2,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,feature/EISCDM-2765-release1.3,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,feature/EISCDM-2765-release2,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,feature/EISCDM-3080-dr,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,feature/EISCDM-3083-release2.1,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,feature/EISCDM-3083-release2.3,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,feature/EISCDM-3083-release2.4,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,feature/EISCDM-3083-release2.5,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,feature/EISCDM-3083-release3,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,feature/EISCDM-3149,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,feature/EISCDM-3189,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,feature/EISCDM-3913-drop-11-bronze-market-tables,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,feature/EISCDM-3985-deploy-latest-master-config,Yes,EISG Data & AI ,Cheng Boon Ong,
