Repository,Branch,In-Scope(YES)
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,adhyutomo_prudential.co.id/sprequest-SQLSIT-310521,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,adhyutomo_prudential.co.id/sprequest-SQLUAT-140621,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,afprho-aks-issue,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,aicoe-spn-for-kva,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,aks_spnrenew_iqxcpu-,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,aks-iqxcpu,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,allankennethang_prudential.com.my,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,appref-definition-aipbuk-pruforce-prod,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,appref-definition-aipbuk-pruforce-prod-static-SPN-ReadKey,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,appref-definition-orch2h-pruforce-non-prod,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,appref-definition-orch2h-pruforce-non-prod-ReadKey,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,assetmaster_zozdz7,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,azuremediaservices,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,beezy-logs-download,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,bluemedora,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,bugfix/RTSREA-1403-add-group-member-error,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,bugfix/RTSREA-2748,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,campaignmuat,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,cm-spn,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,danielch.chung_prudential.com.hk/sprequest.yml-1636632719983,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,danielch.chung_prudential.com.hk/sprequest.yml-1636633646007,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,datahub,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,datalakekvspndev28_1_2022,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,decomm_linux_solr,
