Repository,Branch,In-Scope(YES)
pru-pacs/pacs-g8t-jenkins-agent-pvc-clean-up,jacquelyncalisay_prudential.com.sg/Jenkinsfile-1695109336761,
pru-pacs/pacs-g8t-jenkins-agent-pvc-clean-up,jacquelyncalisay_prudential.com.sg/Jenkinsfile-1695113044372,
pru-pacs/pacs-g8t-jenkins-agent-pvc-clean-up,master,YES
pru-pacs/pacs-g8t-queueit-api,master,YES
pru-pacs/pacs-g8t-queueit,master,YES
pru-pacs/pacs-g8t-rabbitmq-ha-ops,master,YES
pru-pacs/pacs-g8t-sre-sqlplus,master,YES
pru-pacs/pacs-g8t-srebot,feature/jacq,
pru-pacs/pacs-g8t-srebot,master,YES
pru-pacs/pacs-g8t-sre-nginx,master,YES
pru-pacs/pacs-g8t-rabbitmq-ops,master,YES
pru-pacs/pacs-g8t-sre-tbs-deamonset-ops,master,YES
pru-pacs/pacs-g8t-tarsbot,master,YES
pru-pacs/pacs-g8t-stunnel,master,YES
pru-pacs/pacs-g8t-vpms-agent-build-automation,feature/24.3,
pru-pacs/pacs-g8t-vpms-agent-build-automation,master,YES
pru-pacs/pacs-g8t-tarsbot-kops,master,YES
pru-pacs/pacs-g8t-open-api-standards,Master,YES
pru-pacs/pacs-g8t-open-api-standards,main,
pru-pacs/pacs-g8t-expressjs,master,YES
pru-pacs/pacs-k8t-devops-images,DevSecOpsIssues,
pru-pacs/pacs-k8t-devops-images,PACSSRE-4559,
pru-pacs/pacs-k8t-devops-images,certs-decrypt,
pru-pacs/pacs-k8t-devops-images,feature/PACSSRE-4394,
pru-pacs/pacs-k8t-devops-images,master,YES
pru-pacs/pacs-k8t-devops-images,node16.15,
pru-pacs/pacs-k8t-devops-images,node19_9,
pru-pacs/pacs-k8t-devops-images,pacssre,
pru-pacs/pacs-k8t-devops-images,py,
pru-pacs/pacs-k8t-devops-jenkins-openshift-agent,Pacssre-4780,
pru-pacs/pacs-k8t-devops-jenkins-openshift-agent,azure_cli,
pru-pacs/pacs-k8t-devops-jenkins-openshift-agent,faas_builder,
pru-pacs/pacs-k8t-devops-jenkins-openshift-agent,feature/GHAmigration,
pru-pacs/pacs-k8t-devops-jenkins-openshift-agent,feature/PACSSRE-4279,
pru-pacs/pacs-k8t-devops-jenkins-openshift-agent,feature/pipeline,
pru-pacs/pacs-k8t-devops-jenkins-openshift-agent,feature/sre,
pru-pacs/pacs-k8t-devops-jenkins-openshift-agent,key_name_update,
pru-pacs/pacs-k8t-devops-jenkins-openshift-agent,master,YES
pru-pacs/pacs-k8t-devops-jenkins-openshift-agent,pacssre,
pru-pacs/pacs-k8t-devops-jenkins-openshift-agent,seleniumjava11,
pru-pacs/pacs-k8t-devops-jenkins-openshift-agent,seleniumslave,
pru-pacs/pacs-k8t-devops-jenkins-openshift-agent,srevmps,
pru-pacs/pacs-k8t-devops-jenkins-openshift-agent,v1,
pru-pacs/pacs-k8t-devops-ref-cd,Changes,
pru-pacs/pacs-k8t-devops-ref-cd,abhinayetikalapadu_prudential.com.sg/gitignore-1705377437851,
pru-pacs/pacs-k8t-devops-ref-cd,centralisedHelm,
pru-pacs/pacs-k8t-devops-ref-cd,feature/helmTemplates,
pru-pacs/pacs-k8t-devops-ref-cd,kubeent,
pru-pacs/pacs-k8t-devops-ref-cd,master,YES
pru-pacs/pacs-k8t-devops-ref-cd,new,
pru-pacs/pacs-k8t-devops-ref-cd,ondemanddeploy,
pru-pacs/pacs-k8t-devops-ref-cd,ondemandpurge,
pru-pacs/pacs-k8t-devops-ref-ci-maven,feature/ondemand,
pru-pacs/pacs-k8t-devops-ref-ci-maven,master,
pru-pacs/pacs-k8t-devops-ref-ci-maven,sreparallel,
