Repository,Branch,In-Scope(YES),Application
pru-pamb/pss-eta-github_governance,feature/GTDE-145-new,,
pru-pamb/pss-eta-github_governance,feature/GTDE-145,,
pru-pamb/pss-eta-github_governance,main,,
pru-pamb/pamb-zz2-webapps,develop,,
pru-pamb/pamb-zz2-webapps,feature/PAMBFTFCVC-48_1,,
pru-pamb/pamb-zz2-webapps,feature/PAMBMP2-6,,
pru-pamb/pamb-zz2-webapps,feature/PAMBMP2,,
pru-pamb/pamb-zz2-webapps,feature/PAMBNEW-38689_newtest,,
pru-pamb/pamb-zz2-webapps,feature/PAMBNEWP35928,,
pru-pamb/pamb-zz2-webapps,feature/PAMBNEWP38484_C,,
pru-pamb/pamb-zz2-webapps,feature/PAMBNEWP38484_IB01,,
pru-pamb/pamb-zz2-webapps,feature/PAMBNEWP38484_main,,
pru-pamb/pamb-zz2-webapps,feature/PAMBNEWP38484,,
pru-pamb/pamb-zz2-webapps,feature/PAMBNEWP38704,,
pru-pamb/pamb-zz2-webapps,feature/PAMBNEWP39346,,
pru-pamb/pamb-zz2-webapps,feature/PAMBNEWP-38457,,
pru-pamb/pamb-zz2-webapps,feature/PAMBNEWP-38689_new12,,
pru-pamb/pamb-zz2-webapps,feature/PAMBNEWP-38689_new123,,
pru-pamb/pamb-zz2-webapps,feature/PAMBNEWP-38689,,
pru-pamb/pamb-zz2-webapps,feature/PAMBNEWP-38701_rel,,
pru-pamb/pamb-zz2-webapps,feature/PAMBNEWP-38701_1,,
pru-pamb/pamb-zz2-webapps,feature/PAMBNEWP-38904,,
pru-pamb/pamb-zz2-webapps,feature/PAMBOE-209-2,,
pru-pamb/pamb-zz2-webapps,feature/PAMBOE-209,,
pru-pamb/pamb-zz2-webapps,feature/Polaris_CSS_fixes,,
pru-pamb/pamb-zz2-webapps,feature/PolarisScan,,
pru-pamb/pamb-zz2-webapps,feature/SR02984742,,
pru-pamb/pamb-zz2-webapps,feature/SR03030565_2,,
pru-pamb/pamb-zz2-webapps,feature/SR03049124,,
pru-pamb/pamb-zz2-webapps,feature/SR03050006,,
pru-pamb/pamb-zz2-webapps,feature/SR03050006_1,,
pru-pamb/pamb-zz2-webapps,feature/SR03050006_2,,
pru-pamb/pamb-zz2-webapps,feature/SR03067487,,
pru-pamb/pamb-zz2-webapps,feature/SRF02638258,,
pru-pamb/pamb-zz2-webapps,feature/SRF02890861_waiver,,
pru-pamb/pamb-zz2-webapps,feature/SRF02989629,,
pru-pamb/pamb-zz2-webapps,feature/SRF02989629_1,,
pru-pamb/pamb-zz2-webapps,feature/SRF03019165_1,,
pru-pamb/pamb-zz2-webapps,feature/SRF03032254,,
pru-pamb/pamb-zz2-webapps,feature/SRF03032254_1,,
pru-pamb/pamb-zz2-webapps,feature/SRF03032662,,
pru-pamb/pamb-zz2-webapps,feature/configure_uat_env,,
pru-pamb/pamb-zz2-webapps,feature/formulaUtil,,
pru-pamb/pamb-zz2-webapps,feature/item20_52,,
pru-pamb/pamb-zz2-webapps,feature/jenkin_deploy,,
pru-pamb/pamb-zz2-webapps,feature/polaris_fixed_invalid_iterator,,
pru-pamb/pamb-zz2-webapps,feature/preprod_20250314,,
pru-pamb/pamb-zz2-webapps,feature/release_rollback202503,,
pru-pamb/pamb-zz2-webapps,feature/releasepcsremoveinv,,
pru-pamb/pamb-zz2-webapps,feature/revert_SR02673276,,
pru-pamb/pamb-zz2-webapps,feature/revertPV0149,,
pru-pamb/pamb-zz2-webapps,feature/revertPV0158UPS,,
pru-pamb/pamb-zz2-webapps,feature/rollback202503B,,
pru-pamb/pamb-zz2-webapps,feature/securityScan,,
pru-pamb/pamb-zz2-webapps,feature/sfr_release,,
pru-pamb/pamb-zz2-webapps,feature/temp1,,
pru-pamb/pamb-zz2-webapps,main,YES,PCS
pru-pamb/pamb-zz2-webapps,master,,
pru-pamb/pamb-zz2-webapps,release.pcs,YES,PCS
pru-pamb/pamb-zz2-webapps,revert-76-feature/SRF03032254,,
pru-pamb/pamb-zz2-webapps,revert-168-feature/SRF03032254,,
pru-pamb/pamb-zz2-database,feature/Missing_Yoda_202503,,
pru-pamb/pamb-zz2-database,feature/PAMBNEWP-38701,,
pru-pamb/pamb-zz2-database,feature/SR02984742_script,,
pru-pamb/pamb-zz2-database,feature/SRF03042045,,
pru-pamb/pamb-zz2-database,feature/20250219,,
pru-pamb/pamb-zz2-database,main,YES,PCS
pru-pamb/pamb-zz2-database,release.pcs,YES,PCS
pru-pamb/pamb-zqf-pruentrepreneur,SDLC00021247_Update_UserPassword,NO,
pru-pamb/pamb-zqf-pruentrepreneur,SDLC00022496_Mar2024,NO,
pru-pamb/pamb-zqf-pruentrepreneur,UAT,NO,
pru-pamb/pamb-zqf-pruentrepreneur,UAT-Merge,NO,
pru-pamb/pamb-zqf-pruentrepreneur,feature/SDLC00024581_Change_Font,NO,
pru-pamb/pamb-zqf-pruentrepreneur,feature/SDLC00024581_change_font_new_artifactory,NO,
pru-pamb/pamb-zqf-pruentrepreneur,feature/SDLC00024581_change_font_new,NO,
pru-pamb/pamb-zqf-pruentrepreneur,feature/master_merge,NO,
pru-pamb/pamb-zqf-pruentrepreneur,feature/master,YES,PRUWealth
pru-pamb/pamb-zqf-pruentrepreneur,feature/uat_merge,NO,
pru-pamb/pamb-zqf-pruentrepreneur,feature/uat,YES,PRUWealth
pru-pamb/pamb-zqf-pruentrepreneur,master_merge,NO,
pru-pamb/pamb-zqf-pruentrepreneur,master,NO,
pru-pamb/pamb-zk2-whatsapp,feature/MDRT,NO,PRUchat (Whatsapp)
pru-pamb/pamb-zk2-whatsapp,feature/march,NO,PRUchat (Whatsapp)
pru-pamb/pamb-zk2-whatsapp,feature/setupoas,NO,PRUchat (Whatsapp)
pru-pamb/pamb-zk2-whatsapp,hotfix/111,NO,PRUchat (Whatsapp)
pru-pamb/pamb-zk2-whatsapp,master,Yes,PRUchat (Whatsapp)
pru-pamb/pamb-zk2-pruchat-tool,Improvement,NO,
pru-pamb/pamb-zk2-pruchat-tool,x,NO,
pru-pamb/pamb-yzp-cau,Oracle19C_Upgrade,NO,
pru-pamb/pamb-yzp-cau,SDLC00014659_uob_checklist_enhc,NO,
pru-pamb/pamb-yzp-cau,SDLC00015248_SCB_RSO_Enhancement,NO,
pru-pamb/pamb-yzp-cau,SDLC00016679_Enhanced_Image_Capture_of_DDA_Form,NO,
pru-pamb/pamb-yzp-cau,SDLC00016681_Leader_Tagging_Report_Enhancement,NO,
pru-pamb/pamb-yzp-cau,SDLC00016925_Leader_Tagging_Aditional_Filter,NO,
pru-pamb/pamb-yzp-cau,SDLC00017209_Hide_SCB_Reflexive_Form,NO,
pru-pamb/pamb-yzp-cau,SDLC00017482_Hide_Forms_By_DocType,NO,
pru-pamb/pamb-yzp-cau,SDLC00017483_Resource_Base_URL_Refactor,NO,
pru-pamb/pamb-yzp-cau,SDLC00017749_Stamp_Direct_Debit_Form,NO,
pru-pamb/pamb-yzp-cau,SDLC00018084_Update_checklist_and_MID_vers,NO,
pru-pamb/pamb-yzp-cau,SDLC00018251_Add_Watermark_SCB_DDebit_Form,NO,
pru-pamb/pamb-yzp-cau,SDLC00018464_Add_char_ctrl_to_approval_comm_box,NO,
pru-pamb/pamb-yzp-cau,SDLC00018690_Watermark_Position_Changed,NO,
pru-pamb/pamb-yzp-cau,SDLC00019193_UOBCiti_Enhancemnt,NO,
pru-pamb/pamb-yzp-cau,SDLC00019637_Approval_Extention,NO,
pru-pamb/pamb-yzp-cau,SDLC00020274_SCB_Sales_Rep_upload_file,NO,
pru-pamb/pamb-yzp-cau,SDLC00020327_SCB_Bundle_Product_Approval,NO,
pru-pamb/pamb-yzp-cau,SDLC00020624_UOB_Approval_Extension,NO,
pru-pamb/pamb-yzp-cau,SDLC00020668_Update_PWP_Agent_Details,NO,
pru-pamb/pamb-yzp-cau,SDLC00020826_Removed_cau_fr_path,NO,
pru-pamb/pamb-yzp-cau,SDLC00021752_UOB_Approval_Fixed_to_K,NO,
pru-pamb/pamb-yzp-cau,SDLC00022189_UOB_Auto_Extend_fix,NO,
pru-pamb/pamb-yzp-cau,SDLC00022820_approval_doc_rename_logic,NO,
pru-pamb/pamb-yzp-cau,SDLC00022984_scb_direct_debit_form_update_pos,NO,
pru-pamb/pamb-yzp-cau,SDLC00023234_DevSecOps_Process,NO,
pru-pamb/pamb-yzp-cau,SDLC00023381_UOB_Private_Banking,NO,
pru-pamb/pamb-yzp-cau,Spring5_Upgrade,NO,
pru-pamb/pamb-yzp-cau,feature/SDLC00024027_Insecure_Direct_Object_Reference_fix,NO,
pru-pamb/pamb-yzp-cau,feature/SDLC00024471_add_UOB_MS_subchannel,NO,
pru-pamb/pamb-yzp-cau,feature/SDLC00024897_VC_Indicator,NO,
pru-pamb/pamb-yzp-cau,feature/SDLC00025031Annual_PT_2024,NO,
pru-pamb/pamb-yzp-cau,feature/master_merge,NO,
pru-pamb/pamb-yzp-cau,master,YES,CAU Portal
pru-pamb/pamb-yzp-cau,uat_merge,NO,
pru-pamb/pamb-yzp-cau,uat,YES,CAU Portal
pru-pamb/pamb-w5f-cs_maven_reportapp,feature/SDLC00023429_JBOSS_ReportApp_Upgrade,NO,
pru-pamb/pamb-w5f-cs_maven_reportapp,feature/SDLC00023429_JBOSS8,NO,
pru-pamb/pamb-w5f-cs_maven_reportapp,feature/uat,YES,CS
pru-pamb/pamb-w5f-cs_maven_reportapp,feature/master,YES,CS
pru-pamb/pamb-w5f-cs_maven_report,JBOSS_Master_Merge,NO,
pru-pamb/pamb-w5f-cs_maven_report,JBOSS_Master,NO,
pru-pamb/pamb-w5f-cs_maven_report,JBOSS_UAT_Merge,NO,
pru-pamb/pamb-w5f-cs_maven_report,JBOSS_UAT,NO,
pru-pamb/pamb-w5f-cs_maven_report,SDLC00020343_PCIDSS_DB_Replatform_Report,NO,
pru-pamb/pamb-w5f-cs_maven_report,SDLC00020471_AML_Report_Rectification,NO,
pru-pamb/pamb-w5f-cs_maven_report,SDLC00020616_Report_Rectification_Apr23,NO,
pru-pamb/pamb-w5f-cs_maven_report,SDLC00020860_Production_Rectification,NO,
pru-pamb/pamb-w5f-cs_maven_report,SDLC00020877_CS_Elite_Enhancement_Report,NO,
pru-pamb/pamb-w5f-cs_maven_report,SDLC00021166_AML_Report,NO,
pru-pamb/pamb-w5f-cs_maven_report,SDLC00021211_CSE_P2_Report,NO,
pru-pamb/pamb-w5f-cs_maven_report,SDLC00021211_CSE_Report,NO,
pru-pamb/pamb-w5f-cs_maven_report,SDLC00021217_AML_Production_Rectification,NO,
pru-pamb/pamb-w5f-cs_maven_report,SDLC00021312_Report_PHP_CSE_Rpt,NO,
pru-pamb/pamb-w5f-cs_maven_report,SDLC00021353_Production_Report_4_Fields_Rpt,NO,
pru-pamb/pamb-w5f-cs_maven_report,SDLC00021514_ACF_Report_PolicyIdentifierO,NO,
pru-pamb/pamb-w5f-cs_maven_report,SDLC00021725_PDM_CSE_Report,NO,
pru-pamb/pamb-w5f-cs_maven_report,SDLC00021725_PDMC_CSE_Report,NO,
pru-pamb/pamb-w5f-cs_maven_report,SDLC00021827_ACF_Report,NO,
pru-pamb/pamb-w5f-cs_maven_report,SDLC00022171_NCB_P3A_Report,NO,
pru-pamb/pamb-w5f-cs_maven_report,SDLC00022310_NCB_P3B_Report,NO,
pru-pamb/pamb-w5f-cs_maven_report,SDLC00022430_Report_Mar24_Pentest_High_Findings,NO,
pru-pamb/pamb-w5f-cs_maven_report,SDLC00022885_Report_SCB_SFTP,NO,
pru-pamb/pamb-w5f-cs_maven_report,SDLC00022901_Report_VA_Scan,NO,
pru-pamb/pamb-w5f-cs_maven_report,SDLC00023028_Report_eInvoice,NO,
pru-pamb/pamb-w5f-cs_maven_report,SDLC00023029_Report_CSE_F2F,NO,
pru-pamb/pamb-w5f-cs_maven_report,SDLC00023167_Report_CSE_Report_PII,NO,
pru-pamb/pamb-w5f-cs_maven_report,SDLC00023299_NCB_Report,NO,
pru-pamb/pamb-w5f-cs_maven_report,SDLC00023429_JBOSS_Report_Upgrade,NO,
pru-pamb/pamb-w5f-cs_maven_report,SDLC00023431_Report_Zone_UTC,NO,
pru-pamb/pamb-w5f-cs_maven_report,feature/SDLC00023429_JBOSS_Report_Upgrade,NO,
pru-pamb/pamb-w5f-cs_maven_report,feature/SDLC00024401_2024_SRF_Report,NO,
pru-pamb/pamb-w5f-cs_maven_report,feature/SDLC00024835_report_prd_fixes,NO,
pru-pamb/pamb-w5f-cs_maven_report,feature/SDLC00024952_dso_pt_fixes_report,NO,
pru-pamb/pamb-w5f-cs_maven_report,feature/master_merge,NO,
pru-pamb/pamb-w5f-cs_maven_report,feature/master,YES,CS
pru-pamb/pamb-w5f-cs_maven_report,feature/uat_merge,NO,
pru-pamb/pamb-w5f-cs_maven_report,feature/uat,YES,CS
pru-pamb/pamb-w5f-cs_maven_report,master_merged,NO,
pru-pamb/pamb-w5f-cs_maven_report,master,NO,
pru-pamb/pamb-w5f-cs_maven_report,new_uat,NO,
pru-pamb/pamb-w5f-cs_maven_report,origin/SDLC00021211_CSE_P2_Report,NO,
pru-pamb/pamb-w5f-cs_maven_report,uat_merged,NO,
pru-pamb/pamb-w5f-cs_maven_report,uat,NO,
pru-pamb/pamb-w5f-cs_maven_portal,JBOSS_Master_Merge,NO,
pru-pamb/pamb-w5f-cs_maven_portal,JBOSS_Master,NO,
pru-pamb/pamb-w5f-cs_maven_portal,JBOSS_UAT_Merge,NO,
pru-pamb/pamb-w5f-cs_maven_portal,JBOSS_UAT,NO,
pru-pamb/pamb-w5f-cs_maven_portal,SDLC00020343_PCIDSS_DB_Replatform_Portal,NO,
pru-pamb/pamb-w5f-cs_maven_portal,SDLC00020860_Claim_SSR_Report_Rectification,NO,
pru-pamb/pamb-w5f-cs_maven_portal,SDLC00020877_CS_Elite_Enhancement_Portal,NO,
pru-pamb/pamb-w5f-cs_maven_portal,SDLC00021211_CSE_P2_Portal,NO,
pru-pamb/pamb-w5f-cs_maven_portal,SDLC00021827_SSR_Report_Rectification_Nov23,NO,
pru-pamb/pamb-w5f-cs_maven_portal,SDLC00022171_NCB_P3A_Portal,NO,
pru-pamb/pamb-w5f-cs_maven_portal,SDLC00022310_NCB_P3B_Portal,NO,
pru-pamb/pamb-w5f-cs_maven_portal,SDLC00022430_Mar24_Pentest_High_Findings,NO,
pru-pamb/pamb-w5f-cs_maven_portal,SDLC00022576_JBoss_Spring5_Hibernate5,NO,
pru-pamb/pamb-w5f-cs_maven_portal,SDLC00022840_Splunk_logs,NO,
pru-pamb/pamb-w5f-cs_maven_portal,SDLC00022885_Portal_SCB_SFTP,NO,
pru-pamb/pamb-w5f-cs_maven_portal,SDLC00022901_Portal_VA_Scan,NO,
pru-pamb/pamb-w5f-cs_maven_portal,SDLC00023029_Portal_CSE_F2F,NO,
pru-pamb/pamb-w5f-cs_maven_portal,SDLC00023429_Portal_JBOSS_Upgrade,NO,
pru-pamb/pamb-w5f-cs_maven_portal,feature/SDLC00023429_Portal_JBOSS_Upgrade,NO,
pru-pamb/pamb-w5f-cs_maven_portal,feature/SDLC00024401_2024_SRF_Portal,NO,
pru-pamb/pamb-w5f-cs_maven_portal,feature/SDLC00024835_portal_prd_fixes,NO,
pru-pamb/pamb-w5f-cs_maven_portal,feature/SDLC00024952_dso_pt_fixes_portal,NO,
pru-pamb/pamb-w5f-cs_maven_portal,feature/nurul_login_fixes,NO,
pru-pamb/pamb-w5f-cs_maven_portal,feature/uat_merge,NO,
pru-pamb/pamb-w5f-cs_maven_portal,feature/uat,YES,CS
pru-pamb/pamb-w5f-cs_maven_portal,master_merged,NO,
pru-pamb/pamb-w5f-cs_maven_portal,master,YES,CS
pru-pamb/pamb-w5f-cs_maven_portal,new_uat_merge,NO,
pru-pamb/pamb-w5f-cs_maven_portal,new_uat,NO,
pru-pamb/pamb-w5f-cs_maven_portal,uat_merged,NO,
pru-pamb/pamb-w5f-cs_maven_portal,uat,NO,
pru-pamb/pamb-w5f-cs_maven_app,JBOSS_Master_Merge,NO,
pru-pamb/pamb-w5f-cs_maven_app,JBOSS_Master,NO,
pru-pamb/pamb-w5f-cs_maven_app,JBOSS_UAT_Merge,NO,
pru-pamb/pamb-w5f-cs_maven_app,JBOSS_UAT,NO,
pru-pamb/pamb-w5f-cs_maven_app,SDLC00020343_PCIDSS_DB_Replatform_App_hbm,NO,
pru-pamb/pamb-w5f-cs_maven_app,SDLC00020343_PCIDSS_DB_Replatform_App,NO,
pru-pamb/pamb-w5f-cs_maven_app,SDLC00020860_Production_Rectification,NO,
pru-pamb/pamb-w5f-cs_maven_app,SDLC00020877_CS_Elite_Enhancement_App,NO,
pru-pamb/pamb-w5f-cs_maven_app,SDLC00021166_AML_Report_Enrolment_Fix,NO,
pru-pamb/pamb-w5f-cs_maven_app,SDLC00021211_CSE_P2_App,NO,
pru-pamb/pamb-w5f-cs_maven_app,SDLC00021312_Report_PHP_CSE,NO,
pru-pamb/pamb-w5f-cs_maven_app,SDLC00021353_Production_Report_4_Fields,NO,
pru-pamb/pamb-w5f-cs_maven_app,SDLC00021725_PDM_CSE_Report_App,NO,
pru-pamb/pamb-w5f-cs_maven_app,SDLC00022072_ReportProd_Daily_PMD,NO,
pru-pamb/pamb-w5f-cs_maven_app,SDLC00022171_NCB_P3A_App,NO,
pru-pamb/pamb-w5f-cs_maven_app,SDLC00022310_NCB_P3B_App,NO,
pru-pamb/pamb-w5f-cs_maven_app,SDLC00022314_Age_Next_Birthday_2,NO,
pru-pamb/pamb-w5f-cs_maven_app,SDLC00022430_App_Mar24_Pentest_High_Findings,NO,
pru-pamb/pamb-w5f-cs_maven_app,SDLC00022885_App_SCB_SFTP,NO,
pru-pamb/pamb-w5f-cs_maven_app,SDLC00022901_App_VA_Scan,NO,
pru-pamb/pamb-w5f-cs_maven_app,SDLC00022901_Portal_VA_Scan,NO,
pru-pamb/pamb-w5f-cs_maven_app,SDLC00023028_App_eInvoice,NO,
pru-pamb/pamb-w5f-cs_maven_app,SDLC00023029_App_CSE_F2F_v2,NO,
pru-pamb/pamb-w5f-cs_maven_app,SDLC00023029_App_CSE_F2F,NO,
pru-pamb/pamb-w5f-cs_maven_app,SDLC00023429_JBOSS_App_Upgrade,NO,
pru-pamb/pamb-w5f-cs_maven_app,SDLC00023431_App_Zone_UTC_v2,NO,
pru-pamb/pamb-w5f-cs_maven_app,SDLC00023431_App_Zone_UTC,NO,
pru-pamb/pamb-w5f-cs_maven_app,feature/SDLC00023429_JBOSS_App_Upgrade,NO,
pru-pamb/pamb-w5f-cs_maven_app,feature/SDLC00024401_2024_SRF_App,NO,
pru-pamb/pamb-w5f-cs_maven_app,feature/SDLC00024835_app_prd_fixes,NO,
pru-pamb/pamb-w5f-cs_maven_app,feature/SDLC00024952_dso_pt_fixes_app,NO,
pru-pamb/pamb-w5f-cs_maven_app,feature/gh-action-migration,NO,
pru-pamb/pamb-w5f-cs_maven_app,feature/master_merge,NO,
pru-pamb/pamb-w5f-cs_maven_app,feature/master_merged,NO,
pru-pamb/pamb-w5f-cs_maven_app,feature/master,YES,CS
pru-pamb/pamb-w5f-cs_maven_app,feature/uat_merge,NO,
pru-pamb/pamb-w5f-cs_maven_app,feature/uat,YES,CS
pru-pamb/pamb-w5f-cs_maven_app,master_merged,NO,
pru-pamb/pamb-w5f-cs_maven_app,master,NO,
pru-pamb/pamb-w5f-cs_maven_app,new_uat_merge,NO,
pru-pamb/pamb-w5f-cs_maven_app,new_uat,NO,
pru-pamb/pamb-w5f-cs_maven_app,uat_merged,NO,
pru-pamb/pamb-w5f-cs_maven_app,uat,NO,
pru-pamb/pamb-vms-pamb-vms-fundpricing_cws,feature/initial_checkin,NO,
pru-pamb/pamb-vms-pamb-vms-fundpricing_cws,main,NO,
pru-pamb/pamb-vms-fundpricing_cws,develop,NO,
pru-pamb/pamb-vms-fundpricing_cws,feature/git_action_uat,NO,
pru-pamb/pamb-vms-fundpricing_cws,feature/initial_checkin,NO,
pru-pamb/pamb-vms-fundpricing_cws,feature/uat,NO,
pru-pamb/pamb-vms-fundpricing_cws,main,NO,Fund Pricing (CWS) 
pru-pamb/pamb-vms-fundpricing_cws,release,NO,Fund Pricing (CWS) 
pru-pamb/pamb-vjp-cwp,feature/uat,YES,CWP Microsite
pru-pamb/pamb-vjp-cwp,master,YES,CWP Microsite
pru-pamb/pamb-uur-workbasketpusher,master,YES,BPM
pru-pamb/pamb-uur-uw-authority-ui,master,YES,BPM
pru-pamb/pamb-uur-uw-authority-service,feature/UAT,YES,BPM
pru-pamb/pamb-uur-uw-authority-service,master,YES,BPM
pru-pamb/pamb-uur-ps-application-ui,master,YES,BPM
pru-pamb/pamb-uur-ps-application-service,master,YES,BPM
pru-pamb/pamb-uur-pamb-sls-il-ws-api,feature/uat,YES,BPM
pru-pamb/pamb-uur-pamb-sls-il-ws-api,master,YES,BPM
pru-pamb/pamb-uur-pamb-sls-endt,master,YES,BPM
pru-pamb/pamb-uur-pamb-sls-db,master,YES,BPM
pru-pamb/pamb-uur-pamb-sls,feature/action-migration,NO,BPM
pru-pamb/pamb-uur-pamb-sls,feature/sls-api,NO,BPM
pru-pamb/pamb-uur-pamb-sls,feature/uat,YES,BPM
pru-pamb/pamb-uur-pamb-sls,master,YES,BPM
pru-pamb/pamb-uur-pamb-psbpm-integration-service,feature/UAT,YES,BPM
pru-pamb/pamb-uur-pamb-psbpm-integration-service,feature/action-migration,NO,BPM
pru-pamb/pamb-uur-pamb-psbpm-integration-service,master,YES,BPM
pru-pamb/pamb-uur-pamb-nbbpm-userexit,master,YES,BPM
pru-pamb/pamb-uur-pamb-nbbpm-integration-service,master,YES,BPM
pru-pamb/pamb-uur-pamb-lg-ws-client,feature/UAT,YES,BPM
pru-pamb/pamb-uur-pamb-lg-ws-client,master,YES,BPM
pru-pamb/pamb-uur-pamb-lg-ws,feature/UAT_bk,NO,BPM
pru-pamb/pamb-uur-pamb-lg-ws,feature/UAT,YES,BPM
pru-pamb/pamb-uur-pamb-lg-ws,feature/UAT2,NO,BPM
pru-pamb/pamb-uur-pamb-lg-ws,feature/action-migration,NO,BPM
pru-pamb/pamb-uur-pamb-lg-ws,master,YES,BPM
pru-pamb/pamb-uur-pamb-lg-web,feature/UAT,YES,BPM
pru-pamb/pamb-uur-pamb-lg-web,master,YES,BPM
pru-pamb/pamb-uur-pamb-lg-util,feature/UAT_bk,NO,BPM
pru-pamb/pamb-uur-pamb-lg-util,feature/UAT,YES,BPM
pru-pamb/pamb-uur-pamb-lg-util,feature/action-migration,NO,BPM
pru-pamb/pamb-uur-pamb-lg-util,master,YES,BPM
pru-pamb/pamb-uur-pamb-lg-db,feature/UAT,YES,BPM
pru-pamb/pamb-uur-pamb-lg-db,master,YES,BPM
pru-pamb/pamb-uur-pamb-hq-ws-delete,feature/UAT,YES,BPM
pru-pamb/pamb-uur-pamb-hq-ws-delete,master,YES,BPM
pru-pamb/pamb-uur-pamb-hq-ws-client,feature/UAT,YES,BPM
pru-pamb/pamb-uur-pamb-hq-ws-client,master,YES,BPM
pru-pamb/pamb-uur-pamb-hq-ws,feature/UAT,YES,BPM
pru-pamb/pamb-uur-pamb-hq-ws,master,YES,BPM
pru-pamb/pamb-uur-pamb-ccs-ws-client,feature/uat,YES,BPM
pru-pamb/pamb-uur-pamb-ccs-ws-client,master,YES,BPM
pru-pamb/pamb-uur-pamb-ccs-ws,master,YES,BPM
pru-pamb/pamb-uur-pamb-ccs-web,feature/uat,YES,BPM
pru-pamb/pamb-uur-pamb-ccs-web,master,YES,BPM
pru-pamb/pamb-uur-pamb-aml-risk-scoring-web,master,YES,BPM
pru-pamb/pamb-uur-pamb-aml-risk-scoring-core,feature/uat,YES,BPM
pru-pamb/pamb-uur-pamb-aml-risk-scoring-core,master,YES,BPM
pru-pamb/pamb-uur-pamb-aml-risk-scoring-client,master,YES,BPM
pru-pamb/pamb-uur-hqeutil,feature/UAT,YES,BPM
pru-pamb/pamb-uur-hqeutil,master,YES,BPM
pru-pamb/pamb-uur-hqe.web-readonly,master,YES,BPM
pru-pamb/pamb-uur-hqe.web.revamp,feature/UAT,YES,BPM
pru-pamb/pamb-uur-hqe.web.revamp,master,YES,BPM
pru-pamb/pamb-uur-hqe.web.endt,master,YES,BPM
pru-pamb/pamb-uur-hqe.web,master,YES,BPM
pru-pamb/pamb-uur-dynamiceventframeworkweb,master,YES,BPM
pru-pamb/pamb-uur-ds-extension-service,master,YES,BPM
pru-pamb/pamb-uur-dashboard,master,YES,BPM
pru-pamb/pamb-uur-cmextraction,master,YES,BPM
pru-pamb/pamb-uur-cm-export,master,YES,BPM
pru-pamb/pamb-uur-cm-export,tsm-export,YES,BPM
pru-pamb/pamb-uur-cm-deletion,feature/cm-client-data-cleanser,YES,BPM
pru-pamb/pamb-uur-cm-deletion,master,YES,BPM
pru-pamb/pamb-uur-cm-deletion,tsm-export,NO,BPM
pru-pamb/pamb-uur-cm9-uat,master,YES,BPM
pru-pamb/pamb-uur-cm9-uat,prakashjoshi_prudential.com.my/cm-config-server-service-deployment.yaml-1647585830798,YES,BPM
pru-pamb/pamb-uur-ccsutil,master,YES,BPM
pru-pamb/pamb-uur-azt-web5250,feature/scan,YES,BPM
pru-pamb/pamb-uur-azt-web5250,master,YES,BPM
pru-pamb/pamb-uur-azt-web5250,release,NO,BPM
pru-pamb/pamb-uur-azt-web5250,release-scan,NO,BPM
pru-pamb/pamb-uur-azt-psbpm-integration-service,master,YES,BPM
pru-pamb/pamb-uur-azt-psbpm-integration-service,release,YES,BPM
pru-pamb/pamb-uur-azt-nbbpm-userexit,master,YES,BPM
pru-pamb/pamb-uur-azt-nbbpm-userexit,release,YES,BPM
pru-pamb/pamb-uur-azt-nbbpm-integration-service,master,YES,BPM
pru-pamb/pamb-uur-azt-nbbpm-integration-service,release,YES,BPM
pru-pamb/pamb-uur-azt-dynamiceventframeworkweb,develop,YES,BPM
pru-pamb/pamb-uur-azt-dynamiceventframeworkweb,main,NO,BPM
pru-pamb/pamb-uur-azt-dynamiceventframeworkweb,master,YES,BPM
pru-pamb/pamb-uur-azt-dynamiceventframeworkweb,release,NO,BPM
pru-pamb/pamb-uur-azt-dynamiceventframeworkweb,release.1,NO,BPM
pru-pamb/pamb-uur-azt-dynamiceventframeworkweb,release.2,NO,BPM
pru-pamb/pamb-uur-azt-dynamiceventframeworkweb,release.3,NO,BPM
pru-pamb/pamb-uur-azt-ds-extension-service,master,YES,BPM
pru-pamb/pamb-uur-azt-ds-extension-service,release,YES,BPM
pru-pamb/pamb-uur-azt-bpm-cm-operations,master,YES,BPM
pru-pamb/pamb-uur-azt-bpm-cm-operations,release,YES,BPM
pru-pamb/pamb-uur-autoindexer,master,YES,BPM
pru-pamb/pamb-uur-aml-cdd,master,YES,BPM
pru-pamb/pamb-us7-sqsonline-packaging,master,NO,
pru-pamb/pamb-us7-sqsonline,Aug24,NO,
pru-pamb/pamb-us7-sqsonline,July24,NO,
pru-pamb/pamb-us7-sqsonline,bugfix/Oct24,NO,
pru-pamb/pamb-us7-sqsonline,feature/Jan25,NO,
pru-pamb/pamb-us7-sqsonline,feature/Mar25,NO,
pru-pamb/pamb-us7-sqsonline,feature/Nov24,NO,
pru-pamb/pamb-us7-sqsonline,feature/gh-action-migration,NO,
pru-pamb/pamb-us7-sqsonline,master,YES,SQS Online
pru-pamb/pamb-us7-sqsonline,sec_scan_test,NO,
pru-pamb/pamb-us7-sqsonline,feature/uat,YES,SQS Online
pru-pamb/pamb-us7-sqsenginecore-new,July24,NO,
pru-pamb/pamb-us7-sqsenginecore-new,bugfix/Oct24,NO,
pru-pamb/pamb-us7-sqsenginecore-new,feature/April25,NO,
pru-pamb/pamb-us7-sqsenginecore-new,feature/Jan25,NO,
